Here is the second ledger, restricted to coordinate-status audit.

| Stage name                                       | Object at that stage                                                               | Role of (s) at that stage                                                                                                             | What changed about the role of (s)                                                                                              | Older reading of (s) that might incorrectly persist                                                     | Main function of (s)                               | Ambiguity created for later RH interpretation                                                                                          |
| ------------------------------------------------ | ---------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------- | -------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------- |
| Euler reciprocal-power series                    | (\sum_{n\ge1} n^{-s})                                                              | (s) is primarily an exponent controlling reciprocal decay                                                                             | (s) organizes a family of sums rather than a single numerical identity                                                          | Reading (s) only as a positive integer exponent, especially (s=2,4,6,\dots)                             | Exponent; convergence parameter                    | Later readers may conflate the original exponent role with the later complex-coordinate role                                           |
| Euler product                                    | (\prod_p(1-p^{-s})^{-1})                                                           | (s) remains an exponent, now applied uniformly across prime factors                                                                   | (s) becomes the shared scaling parameter that makes additive integer summation equivalent to multiplicative prime factorization | Reading (s) as merely a summation exponent, without recognizing its role in synchronizing prime factors | Exponent; convergence parameter                    | RH later concerns zeros of a continued function, not the direct Euler product in its original convergence region                       |
| Dirichlet-series viewpoint                       | (\sum a_n n^{-s}), especially (L(s,\chi))                                          | (s) is the common analytic coordinate for coefficient-weighted arithmetic data                                                        | (s) becomes a reusable coordinate for many arithmetic generating functions, not only (\zeta)                                    | Reading (s) as belonging specifically to Euler’s zeta series                                            | Convergence parameter; emerging complex coordinate | Later RH analogues inherit the same (s)-plane language, which can hide differences among (L)-functions                                 |
| Analytic continuation                            | (\zeta(s)) as meromorphic function                                                 | (s) becomes a complex variable in a global meromorphic function                                                                       | (s) is no longer restricted to the half-plane where (\sum n^{-s}) converges                                                     | Treating every value (\zeta(s)) as if it were still given by the original series                        | Complex coordinate                                 | Later RH statements depend on the analytically continued object, not the original series definition                                    |
| Functional equation                              | (\Lambda(s)=\pi^{-s/2}\Gamma(s/2)\zeta(s)), (\Lambda(s)=\Lambda(1-s))              | (s) is now a coordinate paired with its reflected coordinate (1-s)                                                                    | The point (s) gains meaning relative to the involution (s\mapsto1-s)                                                            | Reading (s) as an isolated input rather than a coordinate inside a reflection symmetry                  | Reflected coordinate                               | Later RH interpretation depends on the central axis (\Re(s)=1/2), not merely on individual values of (\zeta(s))                        |
| Riemann xi / completed zeta                      | (\xi(s)=\frac12s(s-1)\pi^{-s/2}\Gamma(s/2)\zeta(s)); also (\Xi(t)=\xi(\frac12+it)) | In modern notation, (s) is the coordinate of an entire completed object; in Riemann’s (t)-form, (s=\frac12+it) is already re-centered | (s) shifts from meromorphic zeta input to coordinate of a pole-removed, symmetrized entire function                             | Reading (\xi) as only another name for (\zeta), or confusing Riemann’s (\xi(t)) with modern (\xi(s))    | Completed-object coordinate; zero-coordinate frame | Later RH interpretation can blur whether zeros are being described in the (s)-plane or through the centered (t)-coordinate             |
| Trivial zeros                                    | (\zeta(-2n)=0)                                                                     | (s) marks forced zero locations on the negative real axis                                                                             | (s) now also serves as a zero-location coordinate                                                                               | Reading all zeros as belonging to the same structural class                                             | Complex coordinate; zero-location coordinate       | Later RH interpretation must separate trivial zeros from the nontrivial zeros in the strip                                             |
| Critical strip                                   | (0<\Re(s)<1)                                                                       | (s=\sigma+it) becomes a planar coordinate with real part and imaginary part separated                                                 | The real component (\sigma=\Re(s)) becomes a location classifier                                                                | Reading (s) as a one-dimensional exponent rather than a two-dimensional coordinate                      | Complex coordinate                                 | RH is about the real coordinate of nontrivial zeros, not about convergence of the original series                                      |
| Critical line                                    | (\Re(s)=\frac12), equivalently (s=\frac12+it)                                      | (s) is decomposed into fixed real part plus variable ordinate (t)                                                                     | The relevant variability is transferred from full (s) to the vertical parameter (t) along the central line                      | Reading (s) as freely varying over the whole plane when discussing the line itself                      | Reflected coordinate; zero-ordinate parameter      | RH can be stated either as a condition on (\Re(s)) or as realness of the (t)-ordinate in the centered coordinate convention            |
